job,marital,education,housing,loan
blue-collar,single,basic.9y,no,no
self-employed,divorced,university.degree,yes,no
admin.,married,high.school,yes,no
admin.,married,university.degree,no,no
blue-collar,divorced,basic.4y,yes,no
blue-collar,single,basic.9y,no,no
services,married,high.school,yes,no
services,married,high.school,no,no
self-employed,married,professional.course,yes,no
self-employed,married,professional.course,no,no
technician,divorced,professional.course,no,no
admin.,married,university.degree,yes,no
services,married,high.school,no,no
technician,divorced,professional.course,yes,no
technician,single,basic.9y,yes,no
services,married,high.school,yes,no
technician,divorced,university.degree,no,no
admin.,divorced,university.degree,no,no
admin.,married,university.degree,yes,no
blue-collar,married,basic.4y,no,no
services,married,basic.6y,yes,no
blue-collar,single,basic.4y,yes,no
blue-collar,married,basic.9y,yes,no
technician,divorced,professional.course,yes,no
entrepreneur,married,high.school,no,no
blue-collar,married,basic.9y,yes,no
technician,single,professional.course,yes,no
services,divorced,basic.4y,no,no
admin.,married,high.school,yes,no
admin.,divorced,university.degree,yes,no
technician,married,professional.course,yes,no
admin.,single,university.degree,yes,no
technician,single,professional.course,yes,no
blue-collar,married,basic.9y,yes,no
services,married,basic.6y,no,no
services,married,basic.6y,yes,no
admin.,married,high.school,yes,no
blue-collar,single,basic.4y,yes,no
blue-collar,married,basic.9y,no,yes
management,married,university.degree,yes,no
blue-collar,married,professional.course,yes,no
technician,married,professional.course,yes,no
technician,single,professional.course,yes,no
admin.,single,university.degree,no,no
blue-collar,married,basic.4y,yes,no
management,single,university.degree,yes,no
services,single,high.school,yes,no
admin.,single,high.school,yes,no
blue-collar,married,basic.9y,yes,no
services,single,high.school,yes,no
blue-collar,married,high.school,yes,no
blue-collar,married,high.school,yes,no
admin.,divorced,high.school,no,yes
self-employed,married,university.degree,yes,no
blue-collar,single,high.school,yes,no
services,single,basic.6y,yes,no
housemaid,married,high.school,yes,no
services,married,high.school,yes,yes
admin.,married,basic.4y,no,no
blue-collar,single,high.school,no,no
blue-collar,married,university.degree,yes,no
blue-collar,single,basic.9y,yes,no
management,married,basic.6y,no,yes
self-employed,married,basic.9y,yes,no
management,married,basic.6y,yes,no
admin.,married,high.school,no,yes
services,married,high.school,no,no
entrepreneur,married,high.school,yes,yes
blue-collar,single,basic.4y,no,no
self-employed,single,university.degree,no,no
blue-collar,single,basic.6y,yes,no
admin.,married,high.school,no,no
blue-collar,single,basic.4y,yes,yes
blue-collar,married,basic.9y,no,no
services,single,basic.6y,no,no
admin.,married,high.school,yes,no
admin.,married,professional.course,yes,yes
admin.,divorced,high.school,no,no
admin.,single,high.school,yes,no
blue-collar,single,basic.6y,yes,no
services,divorced,high.school,yes,no
unemployed,married,university.degree,yes,yes
self-employed,single,university.degree,no,no
technician,single,university.degree,no,no
admin.,single,university.degree,yes,no
blue-collar,single,basic.9y,no,no
management,married,university.degree,no,no
services,single,professional.course,yes,no
management,single,university.degree,yes,no
admin.,married,university.degree,yes,no
housemaid,married,high.school,yes,no
services,single,basic.9y,yes,no
services,single,high.school,yes,no
admin.,married,university.degree,no,no
admin.,single,high.school,no,yes
admin.,married,university.degree,no,no
admin.,divorced,basic.9y,no,yes
blue-collar,single,basic.4y,yes,no
admin.,married,basic.9y,yes,no
services,divorced,high.school,yes,no
blue-collar,single,high.school,no,no
blue-collar,married,basic.9y,yes,no
blue-collar,married,basic.9y,no,yes
admin.,married,university.degree,no,no
admin.,married,high.school,no,no
blue-collar,married,basic.9y,no,no
blue-collar,married,basic.9y,no,no
retired,divorced,basic.4y,no,no
retired,divorced,basic.4y,yes,no
management,married,university.degree,yes,yes
technician,single,university.degree,yes,yes
blue-collar,single,basic.9y,yes,no
services,married,high.school,yes,no
services,married,university.degree,no,yes
blue-collar,married,basic.4y,yes,no
blue-collar,single,basic.6y,yes,no
blue-collar,married,high.school,yes,no
technician,single,basic.9y,yes,no
blue-collar,married,basic.9y,yes,no
blue-collar,single,basic.6y,no,no
management,married,basic.4y,yes,no
blue-collar,married,basic.4y,yes,no
blue-collar,single,high.school,no,no
admin.,single,high.school,no,no
services,married,university.degree,no,no
admin.,married,high.school,yes,no
admin.,single,high.school,yes,no
services,married,high.school,yes,no
technician,married,basic.9y,yes,no
services,married,high.school,yes,no
admin.,married,high.school,yes,no
blue-collar,married,basic.9y,yes,no
technician,married,professional.course,no,no
management,married,university.degree,yes,no
admin.,married,high.school,yes,no
services,single,high.school,no,no
services,divorced,high.school,yes,no
services,divorced,high.school,no,no
services,single,basic.9y,yes,no
blue-collar,married,professional.course,yes,no
admin.,married,high.school,no,no
services,married,high.school,no,yes
blue-collar,married,basic.4y,no,no
services,single,high.school,no,no
services,divorced,high.school,no,no
unemployed,married,university.degree,yes,no
management,married,university.degree,no,no
blue-collar,married,basic.4y,no,no
technician,single,university.degree,yes,yes
entrepreneur,married,basic.9y,yes,no
admin.,single,university.degree,yes,no
unemployed,single,high.school,no,no
management,married,university.degree,no,no
admin.,single,high.school,no,no
entrepreneur,divorced,basic.9y,no,no
admin.,single,university.degree,yes,yes
technician,single,professional.course,no,no
blue-collar,married,basic.4y,yes,yes
management,married,university.degree,yes,no
entrepreneur,single,university.degree,yes,no
services,married,basic.6y,yes,no
retired,divorced,university.degree,yes,no
services,married,basic.9y,no,no
blue-collar,married,basic.9y,yes,no
retired,divorced,university.degree,yes,yes
services,married,high.school,yes,no
services,single,high.school,yes,no
technician,single,university.degree,yes,yes
retired,married,basic.6y,no,yes
admin.,single,high.school,yes,no
blue-collar,married,basic.6y,no,no
services,divorced,high.school,yes,yes
blue-collar,single,basic.9y,yes,no
services,single,high.school,no,no
admin.,married,high.school,yes,no
blue-collar,divorced,high.school,no,yes
technician,single,professional.course,no,yes
admin.,married,university.degree,no,no
admin.,married,university.degree,yes,no
services,married,basic.9y,yes,no
self-employed,divorced,university.degree,yes,no
self-employed,divorced,university.degree,no,yes
admin.,married,high.school,no,no
management,married,university.degree,yes,no
technician,divorced,professional.course,yes,no
admin.,single,professional.course,no,no
technician,divorced,professional.course,yes,no
services,married,high.school,yes,no
management,divorced,university.degree,no,no
admin.,single,professional.course,no,yes
blue-collar,single,basic.9y,no,no
admin.,single,university.degree,yes,no
admin.,single,high.school,no,no
technician,married,high.school,yes,yes
self-employed,married,high.school,no,no
technician,divorced,high.school,yes,no
blue-collar,married,basic.6y,yes,no
services,single,high.school,no,no
management,married,university.degree,yes,no
services,divorced,university.degree,no,no
blue-collar,married,basic.9y,yes,no
blue-collar,single,basic.6y,yes,no
technician,single,professional.course,no,no
services,divorced,high.school,yes,no
services,married,high.school,no,no
blue-collar,married,basic.6y,yes,no
management,married,university.degree,no,no
services,married,basic.6y,yes,no
blue-collar,married,basic.9y,yes,no
management,married,university.degree,no,no
blue-collar,single,basic.4y,yes,no
unemployed,married,basic.9y,yes,no
services,married,basic.6y,yes,no
blue-collar,married,basic.9y,no,no
blue-collar,married,basic.9y,yes,yes
blue-collar,married,basic.9y,yes,no
admin.,married,high.school,yes,no
blue-collar,married,basic.4y,no,yes
blue-collar,married,basic.4y,no,no
unemployed,married,university.degree,yes,no
blue-collar,married,basic.9y,no,no
admin.,married,high.school,yes,no
blue-collar,single,high.school,yes,yes
admin.,married,basic.4y,no,yes
student,single,high.school,no,no
blue-collar,married,basic.9y,no,no
admin.,single,university.degree,no,no
admin.,married,university.degree,yes,no
blue-collar,married,professional.course,yes,no
services,married,high.school,yes,no
entrepreneur,married,high.school,yes,no
admin.,divorced,high.school,yes,no
admin.,divorced,high.school,yes,no
blue-collar,single,basic.9y,yes,no
admin.,married,university.degree,yes,no
admin.,divorced,high.school,yes,no
management,married,university.degree,yes,no
services,single,university.degree,no,no
services,married,basic.9y,no,no
blue-collar,single,basic.9y,no,no
admin.,married,basic.6y,no,no
technician,single,professional.course,yes,no
admin.,single,high.school,no,no
retired,married,high.school,yes,no
management,married,university.degree,no,no
admin.,married,basic.9y,yes,no
admin.,single,high.school,no,no
blue-collar,single,high.school,yes,no
blue-collar,married,basic.4y,no,no
blue-collar,married,basic.6y,no,no
blue-collar,married,professional.course,yes,no
services,married,high.school,yes,no
admin.,single,high.school,no,no
admin.,divorced,high.school,yes,yes
blue-collar,married,professional.course,yes,no
blue-collar,single,basic.9y,yes,no
blue-collar,single,basic.4y,no,yes
technician,single,university.degree,no,yes
blue-collar,married,basic.6y,no,no
blue-collar,single,basic.4y,yes,no
blue-collar,single,basic.9y,yes,no
services,married,high.school,yes,no
blue-collar,married,high.school,yes,no
blue-collar,married,basic.9y,yes,no
management,married,university.degree,yes,no
blue-collar,married,professional.course,yes,no
blue-collar,married,basic.4y,yes,no
student,single,high.school,no,no
self-employed,married,basic.9y,yes,no
technician,single,university.degree,yes,no
services,married,basic.6y,yes,no
services,single,high.school,yes,no
blue-collar,married,high.school,yes,no
unemployed,single,high.school,no,no
admin.,married,high.school,no,no
admin.,single,basic.6y,yes,no
services,single,high.school,yes,no
management,single,university.degree,no,no
blue-collar,single,basic.9y,no,no
blue-collar,married,basic.9y,yes,no
blue-collar,married,professional.course,no,no
blue-collar,married,basic.6y,no,no
blue-collar,married,high.school,yes,no
technician,single,professional.course,no,no
blue-collar,divorced,basic.4y,no,no
blue-collar,divorced,high.school,no,no
services,single,high.school,no,no
services,married,high.school,yes,no
services,married,high.school,yes,no
services,married,high.school,no,no
management,married,university.degree,no,no
technician,single,professional.course,yes,no
blue-collar,single,basic.9y,yes,yes
admin.,single,basic.9y,no,no
technician,single,professional.course,no,yes
technician,single,university.degree,yes,no
blue-collar,married,professional.course,yes,yes
blue-collar,single,basic.6y,yes,yes
services,single,high.school,yes,no
blue-collar,married,basic.9y,yes,no
entrepreneur,divorced,basic.9y,yes,no
admin.,married,high.school,yes,yes
blue-collar,married,basic.4y,yes,no
services,single,high.school,yes,yes
technician,single,professional.course,yes,no
admin.,single,high.school,no,yes
admin.,married,basic.6y,no,no
entrepreneur,married,university.degree,yes,yes
retired,divorced,university.degree,yes,no
technician,single,high.school,yes,yes
self-employed,divorced,basic.9y,yes,no
blue-collar,single,professional.course,yes,yes
technician,married,professional.course,yes,yes
services,divorced,basic.4y,no,no
admin.,married,university.degree,no,no
technician,single,professional.course,yes,no
admin.,married,university.degree,yes,no
admin.,married,high.school,no,no
blue-collar,married,basic.9y,no,no
blue-collar,married,basic.9y,no,no
services,single,high.school,no,no
self-employed,married,basic.9y,yes,no
management,married,university.degree,yes,yes
admin.,single,high.school,no,no
retired,divorced,high.school,no,no
blue-collar,married,professional.course,yes,yes
self-employed,single,high.school,yes,yes
admin.,single,university.degree,yes,no
technician,single,professional.course,no,no
management,married,university.degree,no,no
admin.,single,basic.6y,yes,no
admin.,single,high.school,no,yes
technician,single,professional.course,no,no
admin.,married,high.school,yes,no
blue-collar,divorced,basic.9y,yes,no
self-employed,married,high.school,no,no
technician,single,high.school,no,no
blue-collar,married,basic.9y,no,no
blue-collar,single,illiterate,yes,no
admin.,single,university.degree,yes,no
technician,single,university.degree,yes,yes
admin.,single,basic.9y,yes,yes
entrepreneur,married,professional.course,no,no
blue-collar,single,basic.9y,no,no
admin.,single,university.degree,yes,no
admin.,single,university.degree,no,no
services,divorced,basic.4y,no,no
blue-collar,single,basic.9y,yes,no
admin.,married,high.school,yes,yes
student,single,university.degree,yes,no
technician,married,basic.9y,yes,no
technician,divorced,university.degree,no,no
admin.,single,university.degree,no,no
services,single,high.school,yes,yes
technician,single,high.school,yes,no
admin.,married,high.school,no,no
blue-collar,married,basic.6y,no,no
blue-collar,married,basic.6y,no,no
blue-collar,married,basic.6y,yes,no
blue-collar,single,basic.9y,yes,no
admin.,single,high.school,yes,no
blue-collar,single,basic.9y,no,no
admin.,single,high.school,no,no
admin.,single,university.degree,no,no
admin.,single,university.degree,no,no
technician,single,professional.course,yes,no
entrepreneur,married,basic.9y,yes,yes
self-employed,married,professional.course,no,yes
management,married,university.degree,no,no
blue-collar,married,high.school,yes,no
entrepreneur,married,professional.course,no,no
services,single,high.school,no,no
blue-collar,divorced,basic.9y,yes,yes
technician,single,professional.course,no,no
technician,single,university.degree,no,no
blue-collar,married,basic.9y,yes,no
blue-collar,married,basic.9y,yes,yes
technician,single,professional.course,no,no
blue-collar,married,basic.9y,no,no
self-employed,divorced,university.degree,yes,no
admin.,single,high.school,no,yes
blue-collar,single,basic.9y,yes,no
self-employed,single,high.school,yes,yes
blue-collar,single,basic.6y,no,no
blue-collar,single,basic.9y,yes,no
admin.,single,high.school,no,no
blue-collar,married,basic.9y,yes,no
blue-collar,married,basic.6y,yes,no
entrepreneur,married,university.degree,yes,no
blue-collar,divorced,basic.9y,yes,yes
blue-collar,single,basic.4y,yes,no
services,single,basic.9y,yes,yes
admin.,married,professional.course,yes,no
blue-collar,divorced,basic.4y,yes,no
blue-collar,single,professional.course,yes,no
admin.,married,high.school,no,no
admin.,married,high.school,yes,no
blue-collar,single,basic.9y,no,no
blue-collar,divorced,basic.9y,yes,no
admin.,divorced,high.school,no,no
blue-collar,single,basic.9y,no,no
blue-collar,single,basic.6y,yes,no
management,married,university.degree,no,no
services,married,high.school,yes,no
technician,married,university.degree,yes,no
entrepreneur,married,basic.9y,no,no
admin.,single,high.school,no,no
admin.,married,high.school,yes,no
services,single,high.school,yes,yes
admin.,single,university.degree,yes,yes
blue-collar,single,high.school,no,no
admin.,divorced,high.school,no,no
blue-collar,married,basic.4y,yes,no
blue-collar,married,high.school,no,no
entrepreneur,married,high.school,yes,yes
blue-collar,married,basic.4y,no,no
admin.,single,basic.9y,yes,yes
technician,single,university.degree,no,no
blue-collar,married,basic.9y,no,no
entrepreneur,married,university.degree,no,no
blue-collar,divorced,basic.4y,no,no
technician,married,university.degree,yes,yes
blue-collar,divorced,basic.9y,yes,no
entrepreneur,divorced,university.degree,no,no
admin.,single,professional.course,yes,yes
services,married,high.school,yes,no
blue-collar,single,high.school,no,no
blue-collar,single,basic.9y,no,no
technician,married,professional.course,no,no
services,divorced,professional.course,no,no
admin.,single,basic.9y,yes,no
services,single,basic.9y,no,yes
technician,single,university.degree,no,yes
admin.,single,university.degree,yes,no
blue-collar,divorced,basic.9y,yes,no
technician,single,university.degree,yes,no
admin.,single,high.school,no,yes
admin.,single,high.school,yes,no
admin.,divorced,university.degree,yes,no
self-employed,married,professional.course,no,no
admin.,single,high.school,no,no
technician,married,professional.course,no,yes
technician,divorced,professional.course,no,no
blue-collar,single,high.school,no,yes
technician,married,professional.course,no,no
student,single,high.school,yes,no
unemployed,married,professional.course,yes,no
housemaid,married,basic.9y,yes,no
technician,single,professional.course,yes,no
technician,single,professional.course,yes,no
technician,single,university.degree,no,no
admin.,single,high.school,no,no
blue-collar,single,high.school,no,no
admin.,divorced,university.degree,no,no
blue-collar,married,basic.9y,yes,no
admin.,divorced,professional.course,no,no
technician,single,professional.course,no,no
admin.,married,university.degree,no,no
admin.,single,university.degree,no,no
blue-collar,single,high.school,yes,no
blue-collar,single,basic.9y,yes,no
admin.,divorced,professional.course,yes,yes
admin.,divorced,university.degree,yes,no
blue-collar,divorced,professional.course,yes,no
admin.,married,high.school,no,no
blue-collar,divorced,professional.course,no,no
services,married,high.school,yes,yes
admin.,married,high.school,no,no
admin.,single,university.degree,no,no
admin.,single,high.school,yes,no
technician,single,high.school,yes,yes
management,divorced,university.degree,no,no
technician,single,professional.course,yes,no
self-employed,married,high.school,no,no
blue-collar,married,basic.9y,yes,no
admin.,single,university.degree,yes,yes
admin.,married,university.degree,no,no
blue-collar,married,basic.9y,no,no
admin.,married,high.school,yes,no
blue-collar,divorced,basic.9y,yes,no
admin.,single,high.school,no,no
admin.,single,high.school,yes,no
services,married,high.school,yes,no
student,single,high.school,no,no
services,married,high.school,yes,no
blue-collar,single,high.school,yes,no
housemaid,married,university.degree,yes,no
services,single,university.degree,yes,no
retired,divorced,professional.course,yes,no
services,single,university.degree,yes,yes
technician,single,professional.course,yes,no
housemaid,married,basic.9y,yes,no
admin.,divorced,basic.6y,no,no
student,single,high.school,yes,no
technician,single,professional.course,yes,yes
admin.,single,university.degree,yes,yes
admin.,divorced,high.school,no,no
admin.,single,university.degree,yes,no
blue-collar,married,basic.9y,yes,no
management,married,university.degree,yes,no
student,single,university.degree,yes,no
admin.,divorced,basic.9y,yes,no
admin.,married,high.school,yes,yes
admin.,divorced,high.school,yes,no
services,married,high.school,no,no
technician,single,university.degree,yes,no
technician,married,university.degree,no,no
student,single,high.school,no,no
blue-collar,married,basic.4y,no,no
admin.,married,university.degree,yes,yes
services,married,high.school,yes,no
admin.,married,high.school,yes,yes
admin.,married,basic.9y,yes,yes
blue-collar,married,professional.course,yes,no
admin.,single,university.degree,no,no
blue-collar,single,high.school,yes,no
admin.,married,university.degree,no,no
admin.,single,university.degree,no,no
management,married,high.school,no,no
admin.,single,university.degree,yes,no
admin.,single,university.degree,yes,no
management,married,high.school,no,no
blue-collar,single,high.school,yes,no
blue-collar,married,basic.9y,yes,no
blue-collar,single,high.school,yes,no
admin.,single,university.degree,no,no
admin.,married,basic.6y,no,no
admin.,single,professional.course,yes,no
blue-collar,married,basic.4y,no,no
technician,single,professional.course,no,no
technician,married,high.school,no,no
admin.,single,university.degree,yes,no
management,married,high.school,no,no
blue-collar,single,basic.9y,no,no
services,divorced,high.school,no,no
management,married,high.school,no,no
blue-collar,married,basic.4y,yes,no
services,single,high.school,no,no
admin.,married,high.school,yes,no
admin.,single,university.degree,no,no
entrepreneur,divorced,university.degree,yes,no
admin.,married,high.school,yes,no
blue-collar,married,basic.9y,yes,no
admin.,divorced,high.school,yes,no
services,divorced,high.school,no,no
blue-collar,married,basic.9y,no,no
technician,single,university.degree,yes,no
student,single,high.school,yes,no
blue-collar,single,basic.9y,yes,no
unemployed,married,basic.4y,no,no
blue-collar,married,professional.course,yes,no
admin.,divorced,high.school,yes,no
blue-collar,married,professional.course,no,no
blue-collar,single,basic.9y,no,no
blue-collar,married,professional.course,yes,no
admin.,married,high.school,no,no
blue-collar,single,high.school,no,no
blue-collar,married,basic.4y,no,no
technician,single,university.degree,no,no
self-employed,single,university.degree,no,no
management,divorced,high.school,no,no
blue-collar,single,professional.course,yes,no
blue-collar,married,high.school,no,no
blue-collar,married,professional.course,yes,no
technician,married,professional.course,yes,no
admin.,single,professional.course,yes,no
management,married,basic.4y,no,no
admin.,single,high.school,yes,no
admin.,divorced,high.school,yes,yes
technician,single,professional.course,no,no
technician,single,professional.course,yes,no
admin.,married,high.school,no,no
technician,single,high.school,yes,no
technician,single,professional.course,yes,no
technician,married,university.degree,yes,no
admin.,single,high.school,yes,no
blue-collar,single,basic.9y,yes,no
admin.,single,high.school,no,no
blue-collar,single,basic.9y,yes,no
blue-collar,single,basic.9y,no,no
blue-collar,single,high.school,no,no
technician,divorced,university.degree,no,no
management,divorced,university.degree,yes,no
entrepreneur,married,professional.course,yes,no
management,married,university.degree,no,yes
management,divorced,university.degree,no,no
blue-collar,married,basic.9y,yes,no
admin.,single,university.degree,no,no
student,single,high.school,no,no
services,single,university.degree,yes,yes
unemployed,married,basic.9y,yes,no
blue-collar,married,high.school,no,no
technician,divorced,high.school,no,no
services,divorced,high.school,yes,no
technician,divorced,high.school,no,no
blue-collar,married,basic.9y,yes,no
services,married,high.school,yes,no
services,divorced,high.school,yes,no
blue-collar,married,basic.9y,yes,yes
admin.,single,university.degree,yes,no
admin.,divorced,basic.6y,yes,no
entrepreneur,married,university.degree,yes,no
self-employed,married,university.degree,yes,no
blue-collar,married,high.school,no,no
technician,divorced,basic.6y,yes,no
admin.,single,university.degree,yes,no
admin.,single,university.degree,yes,no
admin.,single,professional.course,no,no
admin.,divorced,basic.4y,yes,no
services,married,high.school,no,no
self-employed,married,university.degree,no,yes
services,married,high.school,yes,yes
technician,divorced,professional.course,no,no
unemployed,divorced,basic.6y,no,no
unemployed,single,university.degree,yes,no
blue-collar,divorced,basic.4y,yes,no
self-employed,divorced,university.degree,no,no
technician,married,professional.course,no,yes
blue-collar,single,high.school,no,no
blue-collar,married,professional.course,yes,no
admin.,married,university.degree,no,no
admin.,married,university.degree,yes,no
admin.,divorced,university.degree,no,yes
admin.,single,university.degree,no,no
retired,married,high.school,no,no
technician,single,university.degree,no,yes
admin.,married,university.degree,yes,no
admin.,divorced,university.degree,no,no
admin.,single,university.degree,no,no
technician,single,professional.course,yes,no
technician,divorced,professional.course,no,no
management,married,university.degree,no,no
management,divorced,university.degree,no,no
technician,divorced,professional.course,yes,no
technician,single,university.degree,no,no
services,single,high.school,yes,no
services,married,high.school,no,yes
admin.,divorced,university.degree,yes,yes
admin.,single,university.degree,yes,no
admin.,single,high.school,no,no
admin.,married,professional.course,yes,yes
admin.,married,basic.6y,yes,no
management,married,university.degree,no,no
services,single,high.school,no,no
management,single,high.school,no,no
management,single,high.school,no,no
admin.,married,university.degree,yes,yes
blue-collar,married,basic.9y,yes,no
blue-collar,married,basic.9y,yes,no
management,single,high.school,yes,no
technician,single,professional.course,yes,yes
technician,single,university.degree,yes,no
blue-collar,married,high.school,no,yes
services,single,high.school,no,no
admin.,divorced,high.school,yes,no
services,single,high.school,yes,no
technician,married,university.degree,yes,no
blue-collar,single,basic.9y,yes,no
admin.,married,high.school,yes,no
admin.,married,high.school,no,no
admin.,married,university.degree,yes,no
blue-collar,single,basic.9y,no,no
unemployed,married,basic.4y,no,no
services,married,high.school,yes,no
admin.,single,high.school,yes,no
admin.,single,high.school,yes,no
blue-collar,divorced,basic.9y,yes,no
admin.,single,high.school,yes,no
admin.,single,high.school,yes,yes
technician,single,professional.course,yes,no
admin.,single,high.school,yes,no
technician,married,professional.course,yes,yes
student,single,high.school,no,no
unemployed,married,professional.course,no,no
retired,married,high.school,no,no
blue-collar,married,basic.9y,yes,yes
blue-collar,married,basic.4y,yes,no
technician,single,university.degree,yes,no
blue-collar,married,basic.6y,yes,no
admin.,single,university.degree,yes,no
admin.,married,university.degree,no,yes
admin.,divorced,university.degree,yes,no
admin.,divorced,university.degree,yes,no
technician,married,professional.course,yes,no
student,single,high.school,yes,no
management,married,university.degree,no,no
services,married,high.school,no,no
management,married,university.degree,no,no
management,married,university.degree,yes,no
management,divorced,professional.course,yes,no
admin.,single,university.degree,yes,no
technician,married,university.degree,yes,no
management,single,university.degree,yes,no
technician,single,high.school,yes,no
blue-collar,single,basic.9y,yes,no
management,married,high.school,yes,no
housemaid,married,basic.9y,no,no
retired,divorced,university.degree,no,no
student,single,high.school,yes,no
technician,single,professional.course,yes,no
self-employed,single,basic.4y,yes,no
blue-collar,married,basic.4y,no,no
blue-collar,married,basic.9y,yes,no
admin.,single,university.degree,yes,no
blue-collar,single,high.school,no,no
student,single,high.school,yes,no
services,single,basic.9y,no,no
admin.,married,high.school,yes,yes
self-employed,single,university.degree,yes,yes
admin.,single,university.degree,yes,no
services,married,professional.course,no,no
admin.,single,high.school,yes,yes
blue-collar,married,basic.9y,yes,no
services,single,high.school,yes,no
admin.,married,high.school,yes,yes
services,single,high.school,yes,yes
blue-collar,divorced,basic.4y,no,no
entrepreneur,married,university.degree,no,no
admin.,divorced,university.degree,yes,no
admin.,single,university.degree,yes,yes
services,single,high.school,yes,no
admin.,married,university.degree,yes,no
admin.,single,high.school,no,no
admin.,single,university.degree,no,no
admin.,single,university.degree,yes,yes
admin.,divorced,high.school,yes,no
blue-collar,single,high.school,yes,no
blue-collar,married,basic.9y,yes,no
blue-collar,single,professional.course,no,no
technician,married,professional.course,yes,no
blue-collar,married,basic.9y,yes,yes
technician,single,professional.course,yes,no
student,single,high.school,yes,yes
self-employed,married,high.school,yes,no
services,married,high.school,yes,no
admin.,married,university.degree,yes,no
blue-collar,married,basic.4y,yes,no
services,married,high.school,no,no
management,married,university.degree,no,no
blue-collar,married,basic.4y,yes,no
blue-collar,married,basic.4y,yes,no
student,single,high.school,yes,no
technician,married,professional.course,yes,no
management,married,university.degree,yes,no
technician,single,professional.course,yes,no
admin.,married,high.school,yes,no
blue-collar,married,basic.9y,yes,no
technician,single,university.degree,no,no
blue-collar,single,basic.9y,yes,no
blue-collar,married,basic.9y,no,no
blue-collar,married,basic.9y,yes,no
admin.,married,high.school,yes,no
self-employed,single,basic.4y,no,yes
technician,single,professional.course,yes,no
unemployed,married,basic.9y,no,no
services,single,high.school,yes,no
admin.,single,high.school,no,no
technician,single,university.degree,yes,no
entrepreneur,single,university.degree,no,no
technician,single,basic.9y,no,no
services,divorced,high.school,yes,no
technician,single,professional.course,yes,yes
admin.,married,high.school,yes,no
technician,married,high.school,no,no
admin.,single,high.school,no,no
services,married,high.school,no,no
admin.,single,high.school,no,no
technician,single,basic.9y,no,no
admin.,divorced,high.school,yes,no
services,married,high.school,yes,no
admin.,married,university.degree,yes,yes
retired,married,high.school,yes,no
services,married,high.school,yes,no
services,married,high.school,yes,no
admin.,single,high.school,yes,no
technician,married,professional.course,yes,no
admin.,single,university.degree,yes,no
admin.,single,university.degree,no,no
admin.,married,high.school,yes,no
admin.,divorced,high.school,yes,no
admin.,married,high.school,yes,no
technician,married,high.school,yes,no
technician,married,professional.course,no,no
admin.,single,high.school,no,no
admin.,single,university.degree,yes,no
technician,single,university.degree,yes,no
admin.,single,high.school,no,yes
admin.,married,high.school,no,no
technician,married,professional.course,yes,no
student,single,high.school,no,no
blue-collar,married,basic.4y,yes,no
blue-collar,married,basic.9y,yes,no
admin.,married,university.degree,yes,no
admin.,single,university.degree,no,no
entrepreneur,single,university.degree,yes,no
management,single,university.degree,no,no
student,single,high.school,yes,no
technician,single,basic.9y,yes,no
services,married,basic.9y,yes,no
admin.,single,university.degree,no,no
unemployed,married,high.school,yes,no
technician,single,university.degree,no,no
admin.,single,university.degree,yes,yes
technician,single,professional.course,no,no
technician,married,professional.course,yes,no
technician,single,professional.course,yes,no
admin.,single,university.degree,no,no
blue-collar,married,basic.4y,no,no
blue-collar,single,high.school,yes,no
admin.,single,university.degree,yes,no
admin.,single,university.degree,yes,no
admin.,divorced,university.degree,yes,yes
admin.,single,university.degree,no,no
management,married,high.school,no,no
admin.,married,university.degree,yes,no
admin.,divorced,high.school,yes,yes
admin.,single,university.degree,no,yes
services,divorced,high.school,yes,no
blue-collar,single,basic.9y,no,no
unemployed,married,professional.course,yes,no
technician,divorced,professional.course,yes,no
management,divorced,university.degree,yes,no
services,married,university.degree,yes,no
management,divorced,university.degree,yes,no
technician,married,university.degree,yes,no
entrepreneur,single,high.school,yes,no
admin.,married,high.school,yes,no
admin.,divorced,high.school,yes,no
admin.,married,university.degree,yes,no
technician,single,high.school,yes,no
unemployed,married,university.degree,no,no
admin.,married,university.degree,yes,no
blue-collar,married,professional.course,no,yes
services,single,professional.course,no,yes
services,married,high.school,no,no
blue-collar,married,basic.9y,no,no
admin.,divorced,basic.9y,no,yes
technician,single,professional.course,yes,no
technician,married,professional.course,yes,no
entrepreneur,married,professional.course,yes,yes
services,married,high.school,yes,no
admin.,single,university.degree,no,no
technician,divorced,professional.course,yes,no
technician,divorced,professional.course,no,no
technician,single,university.degree,no,no
technician,divorced,professional.course,no,no
admin.,married,high.school,yes,no
entrepreneur,married,university.degree,yes,no
admin.,married,university.degree,no,no
technician,single,university.degree,yes,no
technician,single,university.degree,yes,no
management,married,high.school,yes,yes
management,married,high.school,yes,no
admin.,married,professional.course,yes,yes
student,single,basic.9y,no,yes
admin.,single,university.degree,no,no
admin.,single,university.degree,yes,no
admin.,single,university.degree,yes,no
retired,married,basic.9y,no,yes
student,single,basic.9y,yes,no
retired,married,basic.9y,yes,yes
admin.,married,university.degree,yes,no
admin.,single,university.degree,yes,no
admin.,married,university.degree,yes,no
admin.,married,university.degree,no,no
housemaid,married,high.school,yes,no
admin.,single,university.degree,yes,no
technician,married,university.degree,yes,yes
admin.,married,basic.6y,yes,no
admin.,married,basic.6y,no,no
technician,single,university.degree,no,no
technician,single,professional.course,yes,no
technician,single,professional.course,no,yes
admin.,married,university.degree,no,no
